id,title
327,Transvaal (South Africa) -- History -- War of 1880-1881 -- Fiction
328,Pirates -- Poetry
329,"Lönnrot, Elias, 1802-1884. Kanteletar"
330,United States -- Foreign relations -- 1775-1783
331,Northmen -- Fiction
332,Canadian fiction -- 20th century
333,"Painting, Japanese"
334,"Texas -- History -- Revolution, 1835-1836"
335,"World War, 1914-1918"
336,Dime novels
337,United States -- History -- Sources
338,Marbling
339,Paleontology
340,Project Gutenberg
341,Teaching
342,India -- Languages
343,Nursery rhymes
344,"Children''s stories, Flemish"
345,"Carducci, Giosuè, 1835-1907"
346,World history
347,Religion -- Philosophy
348,Young women -- Fiction
349,Drill and minor tactics
350,American poetry -- 19th century
351,English language -- Slang -- Dictionaries
352,Technology -- Periodicals
353,"World War, 1914-1918 -- Food supply -- United States"
354,"Knowledge, Theory of"
355,Sick children -- Juvenile fiction
356,Brigands and robbers -- Fiction
357,Birds -- Eggs
358,Christian antiquities -- Italy -- Rome
359,"Horror tales, American"
360,Hotels -- New York (State)
361,Knights and knighthood -- Spain -- Fiction
362,Rubber industry and trade -- Congo (Democratic Republic)
363,Malta -- History
364,Children's plays
365,"Epic poetry, Italian -- Translations into English"
366,"Howells, William Dean, 1837-1920 -- Friends and associates"
367,France -- History -- Invasion of 1814 -- Fiction
368,Jews -- Italy -- Drama
369,Sex (Psychology)
370,Dakota Indians -- Folklore
371,Peru -- Description and travel
372,American wit and humor -- Periodicals
373,Cooking -- Juvenile literature
374,Shipwrecks -- Indian Ocean -- Juvenile fiction
375,"Bao, Zheng, 999-1062 -- Fiction"
376,Families -- Fiction
377,Mormon Church -- Doctrines
378,Domestic fiction
379,"Railroads, Local and light -- England"
380,Literature -- Periodicals
381,Christmas -- Poetry
382,Finnish drama -- 20th century
383,Religion in literature
384,Educators -- United States -- Biography
385,"Charlemagne, Emperor, 742-814 -- Fiction"
386,"Caine, Hall, 1853-1931"
387,Culture -- Periodicals
388,Children's stories
389,Families -- Juvenile fiction
390,"Philosophy, American"
391,Education -- England -- History
392,"Chopin, Frédéric, 1810-1849"
393,Norwegian fiction -- Translations into German
394,Money-making projects for children -- Juvenile fiction
395,Congregational churches -- Missions -- Periodicals
396,Finland -- Biography
397,Electricity -- Fiction
398,Musical fiction
399,Dalmatia (Croatia) -- Politics and government
400,Brothers -- Fiction
401,English fiction
402,Drama
403,"United States -- History -- Civil War, 1861-1865 -- Fiction"
404,"Great Britain -- History -- Medieval period, 1066-1485 -- Fiction"
405,Law -- France -- Humor
406,Girls -- Conduct of life -- Fiction
407,Italian drama
408,Dreams -- Fiction
409,"Short stories, English"
410,Portuguese literature -- 19th century
411,Methodology
412,Clergy -- England -- Biography
413,"Folk literature, Danish -- Denmark -- Jutland"
414,United States -- Biography
415,French drama
416,Shepherds -- Scotland -- Juvenile fiction
417,Russia -- Social life and customs -- 1533-1917 -- Fiction
418,"Millbank Prison (London, England)"
419,Dance -- England
420,Swedish fiction
421,Australia -- Juvenile fiction
422,German literature
423,Heresy
424,Extraterrestrial beings -- Fiction
425,Adana (Turkey) -- History
426,"Woolston, Thomas, 1670-1733. Sixth discourse on the miracles of our Saviour"
427,American drama -- 20th century
428,Gothic fiction
429,"Speeches, addresses, etc., American"
430,"Holmes, Sherlock (Fictitious character) -- Fiction"
431,Family -- Scotland -- Juvenile fiction
432,England -- Social life and customs -- 20th century -- Fiction
433,Finnish drama -- 19th century
434,Married women -- Fiction
435,Miners -- Juvenile fiction
436,Skating -- Juvenile fiction
437,"McKinlay, John, 1819-1872"
438,Women -- Biography -- Juvenile literature
439,Solar Queen (Imaginary space vehicle) -- Fiction
440,Ireland -- Social life and customs -- Fiction
441,Bible. Apocrypha. Wisdom of Solomon
442,Women -- Employment -- New York (State) -- New York -- History -- Sources
443,Mexican-American Border Region -- Juvenile fiction
444,"United States -- History -- Civil War, 1861-1865 -- Personal narratives"
445,Constitutional history -- Great Britain
446,Devon (England) -- Social life and customs
447,Presidents -- United States
448,Funeral rites and ceremonies
449,"World War, 1914-1918 -- Personal narratives"
450,Kindness -- Juvenile fiction
451,Older men -- Fiction
452,"Children''s periodicals, Swedish"
453,"United States -- History -- Revolution, 1775-1783 -- Sources"
454,Women detectives -- Juvenile fiction
455,United States -- Social life and customs -- 1783-1865
456,Finnish fiction
457,Legal ethics -- United States
458,Frontier and pioneer life -- Ohio -- Fiction
459,Christian women saints -- Fiction
460,Cant
461,Horror tales
462,"Great Britain -- History, Military"
463,"Hazlitt, William, 1778-1830 -- Correspondence"
464,Chemists -- Great Britain -- Biography
465,War -- Early works to 1800
466,"English poetry -- Early modern, 1500-1700"
467,"Voyages, Imaginary -- Early works to 1800"
468,"Muhammad, Prophet, -632"
469,Balearic Islands (Spain) -- History
470,Christian life -- Juvenile fiction
471,Atheism
472,English essays
473,Russia -- History
474,"Short stories, Italian"
475,Wilderness survival -- Juvenile fiction
476,Scientists -- Great Britain -- Biography
477,"Paris (France) -- History -- Commune, 1871"
478,Great Britain -- Social life and customs -- 17th century -- Sources
479,"Children''s periodicals, American"
480,Spanish fiction -- Translations into English
481,"United States -- History -- Revolution, 1775-1783"
482,Composers -- Germany -- Biography -- Juvenile literature
483,Wasps
484,"Africa, Central -- Description and travel"
485,West (U.S.) -- Social life and customs -- Fiction
486,Arabs
487,Diligence -- Juvenile fiction
488,"Garibaldi, Giuseppe, 1807-1882"
489,Drama -- Technique
490,Birds -- Periodicals
491,"United States -- History -- Civil War, 1861-1865 -- Juvenile fiction"
492,"Cinq-Mars, Henri Coiffier Ruzé d''Effiat, marquis de, 1620-1642 -- Fiction"
493,German drama -- Translations into English
494,Mine accidents -- Juvenile fiction
495,Jewish legends
496,Architecture -- France -- Normandy
497,West (U.S.) -- Description and travel
498,West (U.S.) -- Guidebooks
499,Italian drama (Comedy) -- 19th century
500,Courtship -- Fiction
501,Casa Grande National Monument (Ariz.)
502,"World War, 1914-1918 -- Italy"
503,Sabbath
504,Spiritualism
505,"Aristotle, 384 BC-322 BC"
506,"Fables, French -- Translations into English"
507,Russia -- Court and courtiers
508,American drama
509,Dystopias -- Fiction
510,German poetry -- 19th century
511,"Children''s stories, Dutch"
512,Passenger ships -- Fiction
513,Mothers and sons
514,"Epic poetry, Latin -- Translations into English"
515,Teenage boys -- Juvenile fiction
516,Science -- Methodology
517,United States -- Social life and customs
518,Sunday schools -- Juvenile fiction
519,Missionaries -- Fiction
520,Unmarried mothers -- Fiction
521,"Moffat, Robert, 1795-1883"
522,American literature -- 19th century -- Periodicals
523,Apparitions
524,Americanisms
525,Violin -- History
526,Great Britain -- Social life and customs -- 20th century -- Fiction
527,Farm life -- Juvenile fiction
528,Malabar (India) -- Description and travel
529,"Spanish-American War, 1898 -- Regimental histories"
530,Birds -- Ohio
531,Ghost stories
532,English poetry -- 19th century
533,Voyages and travels -- Fiction
534,Law -- England
535,Alaska -- Fiction
536,"Literature, Modern -- 19th century -- History and criticism"
537,Marriage -- Drama
538,United States -- Social life and customs -- 19th century -- Juvenile fiction
539,New England -- Fiction
540,Realism in literature
541,Upper class families -- Fiction
542,Qur'an
543,German wit and humor
544,Eugenics -- Congresses
545,Queensland -- Economic conditions
546,Paper bag cooking
547,"Women authors, English -- Biography"
548,Christmas -- Juvenile fiction
549,German fiction -- 20th century
550,Islands -- Juvenile fiction
551,"Northwest, Canadian -- Fiction"
552,Dragons -- Poetry
553,Scots language
554,"Chevreuse, Marie de Rohan, duchesse de, 1600-1679"
555,"Poets, English -- Middle English, 1100-1500 -- Biography"
556,Aran Islands (Ireland) -- Description and travel
557,Mystery and detective stories
558,United States -- Politics and government -- 19th century -- Periodicals
559,"Church history -- Middle Ages, 600-1500"
560,Paris (France) -- Fiction
561,Vampires -- Fiction
562,Home missions -- Periodicals
563,Children's literature -- Periodicals
564,English wit and humor
565,"Spain -- History -- Philip II, 1556-1598"
566,"Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier, marquis de, 1757-1834"
567,China -- Civilization
568,"World War, 1914-1918 -- Humor"
569,"Dietzgen, Joseph, 1828-1888 -- Criticism and interpretation"
570,Auction bridge
571,Ponies -- Juvenile fiction
572,Folklore -- Belgium
573,"English language -- Old English, ca. 450-1100 -- Dictionaries"
574,Jewelry theft -- Fiction
575,Ireland -- Guidebooks
576,Pastoral drama
577,Missionaries -- Nigeria -- Biography
578,"Helen, of Troy, Queen of Sparta -- Drama"
579,"World War, 1914-1918 -- Fiction"
580,Fantasy fiction
581,Scandinavia -- Description and travel
582,United States -- Politics and government -- 1837-1841
583,Christmas music
584,African Americans -- Civil rights
585,Christmas stories
586,Christmas poetry
